movie_id,title,overview,genres,keywords,cast,director,tags,original_language,vote_average,release_date,popularity,runtime,production_countries
1452,Superman Returns,superman returns to discover his 5 year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor,Brandon Routh Kevin Spacey Kate Bosworth,Bryan Singer,superman returns to discover his 5 year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel adventure fantasy action sciencefiction adventure fantasy action sciencefiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor brandonrouth kevinspacey katebosworth brandonrouth kevinspacey katebosworth bryansinger bryansinger bryansinger,en,5.4,2006-06-28,57.925623,154.0,US
10764,Quantum of Solace,quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined,Adventure Action Thriller Crime,killing undercover secret agent british secret service,Daniel Craig Olga Kurylenko Mathieu Amalric,Marc Forster,quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined adventure action thriller crime adventure action thriller crime killing undercover secretagent britishsecretservice killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric danielcraig olgakurylenko mathieuamalric marcforster marcforster marcforster,en,6.1,2008-10-30,107.928811,106.0,GB US
58,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation,Adventure Fantasy Action,witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger,Johnny Depp Orlando Bloom Keira Knightley,Gore Verbinski,captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation adventure fantasy action adventure fantasy action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley johnnydepp orlandobloom keiraknightley goreverbinski goreverbinski goreverbinski,en,7.0,2006-06-20,145.847379,151.0,JM US BS DM
57201,The Lone Ranger,the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice,Action Adventure Western,texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto,Johnny Depp Armie Hammer William Fichtner,Gore Verbinski,the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice action adventure western action adventure western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto johnnydepp armiehammer williamfichtner johnnydepp armiehammer williamfichtner goreverbinski goreverbinski goreverbinski,en,5.9,2013-07-03,49.046956,149.0,US
49521,Man of Steel,a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe,Henry Cavill Amy Adams Michael Shannon,Zack Snyder,a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind action adventure fantasy sciencefiction action adventure fantasy sciencefiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse henrycavill amyadams michaelshannon henrycavill amyadams michaelshannon zacksnyder zacksnyder zacksnyder,en,6.5,2013-06-12,99.398009,143.0,GB US
2454,The Chronicles of Narnia: Prince Caspian,one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world,Ben Barnes William Moseley Anna Popplewell,Andrew Adamson,one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir adventure family fantasy adventure family fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld benbarnes williammoseley annapopplewell benbarnes williammoseley annapopplewell andrewadamson andrewadamson andrewadamson,en,6.3,2008-05-15,53.978602,150.0,CZ PL SI US
24428,The Avengers,when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as s h i e l d finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe,Robert Downey Jr. Chris Evans Mark Ruffalo,Joss Whedon,when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as s h i e l d finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins sciencefiction action adventure sciencefiction action adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse robertdowneyjr chrisevans markruffalo robertdowneyjr chrisevans markruffalo josswhedon josswhedon josswhedon,en,7.4,2012-04-25,144.448633,143.0,US
1865,Pirates of the Caribbean: On Stranger Tides,captain jack sparrow crosses paths with a woman from his past and he s not sure if it s love or if she s a ruthless con artist who s using him to find the fabled fountain of youth when she forces him aboard the queen anne s revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesn t know who to fear more blackbeard or the woman from his past,Adventure Action Fantasy,sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,Johnny Depp Penélope Cruz Ian McShane,Rob Marshall,captain jack sparrow crosses paths with a woman from his past and he s not sure if it s love or if she s a ruthless con artist who s using him to find the fabled fountain of youth when she forces him aboard the queen anne s revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesn t know who to fear more blackbeard or the woman from his past adventure action fantasy adventure action fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnnydepp penlopecruz ianmcshane johnnydepp penlopecruz ianmcshane robmarshall robmarshall robmarshall,en,6.4,2011-05-14,135.413856,136.0,US
41154,Men in Black 3,agents j will smith and k tommy lee jones are back in time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when k s life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future changing history,Will Smith Tommy Lee Jones Josh Brolin,Barry Sonnenfeld,agents j will smith and k tommy lee jones are back in time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when k s life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind action comedy sciencefiction action comedy sciencefiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory willsmith tommyleejones joshbrolin willsmith tommyleejones joshbrolin barrysonnenfeld barrysonnenfeld barrysonnenfeld,en,6.2,2012-05-23,52.035179,106.0,US
122917,The Hobbit: The Battle of the Five Armies,immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebor s mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middle earth falls into bilbo s hands,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson,immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebor s mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middle earth falls into bilbo s hands action adventure fantasy action adventure fantasy corruption elves dwarves orcs middleearthtolkien hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery corruption elves dwarves orcs middleearthtolkien hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery martinfreeman ianmckellen richardarmitage martinfreeman ianmckellen richardarmitage peterjackson peterjackson peterjackson,en,7.1,2014-12-10,120.965743,144.0,NZ US
1930,The Amazing Spider-Man,peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance leading him directly to oscorp and the lab of dr curt connors his father s former partner as spider man is set on a collision course with connors alter ego the lizard peter will make life altering choices to use his powers and shape his destiny to become a hero,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger,Andrew Garfield Emma Stone Rhys Ifans,Marc Webb,peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance leading him directly to oscorp and the lab of dr curt connors his father s former partner as spider man is set on a collision course with connors alter ego the lizard peter will make life altering choices to use his powers and shape his destiny to become a hero action adventure fantasy action adventure fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger andrewgarfield emmastone rhysifans andrewgarfield emmastone rhysifans marcwebb marcwebb marcwebb,en,6.5,2012-06-27,89.866276,136.0,US
20662,Robin Hood,when soldier robin happens upon the dying robert of loxley he promises to return the man s sword to his family in nottingham there he assumes robert s identity romances his widow marion and draws the ire of the town s sheriff and king john s henchman godfrey,Action Adventure,robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england,Russell Crowe Cate Blanchett Max von Sydow,Ridley Scott,when soldier robin happens upon the dying robert of loxley he promises to return the man s sword to his family in nottingham there he assumes robert s identity romances his widow marion and draws the ire of the town s sheriff and king john s henchman godfrey action adventure action adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland russellcrowe cateblanchett maxvonsydow russellcrowe cateblanchett maxvonsydow ridleyscott ridleyscott ridleyscott,en,6.2,2010-05-12,37.668301,140.0,GB US
57158,The Hobbit: The Desolation of Smaug,the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug,Adventure Fantasy,elves dwarves orcs hobbit dragon wizard sword and sorcery,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson,the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug adventure fantasy adventure fantasy elves dwarves orcs hobbit dragon wizard swordandsorcery elves dwarves orcs hobbit dragon wizard swordandsorcery martinfreeman ianmckellen richardarmitage martinfreeman ianmckellen richardarmitage peterjackson peterjackson peterjackson,en,7.6,2013-12-11,94.370564,161.0,NZ US
2268,The Golden Compass,after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that it s part of her destiny,Adventure Fantasy,england compass experiment lordship uncle polar bear orphan animal based on young adult novel,Dakota Blue Richards Nicole Kidman Daniel Craig,Chris Weitz,after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that it s part of her destiny adventure fantasy adventure fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel dakotabluerichards nicolekidman danielcraig dakotabluerichards nicolekidman danielcraig chrisweitz chrisweitz chrisweitz,en,5.8,2007-12-04,42.990906,113.0,GB US
254,King Kong,in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady,Adventure Drama Action,film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur,Naomi Watts Jack Black Adrien Brody,Peter Jackson,in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady adventure drama action adventure drama action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur naomiwatts jackblack adrienbrody naomiwatts jackblack adrienbrody peterjackson peterjackson peterjackson,en,6.6,2005-12-14,61.22601,187.0,NZ US DE
597,Titanic,84 years later a 101 year old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upper class passengers and her mother ruth dewitt bukater and her fianc caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win third class tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 2 20 in the morning,Drama Romance Thriller,shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s,Kate Winslet Leonardo DiCaprio Frances Fisher,James Cameron,84 years later a 101 year old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upper class passengers and her mother ruth dewitt bukater and her fianc caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win third class tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 2 20 in the morning drama romance thriller drama romance thriller shipwreck iceberg ship panic titanic oceanliner epic richwomanpoorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s shipwreck iceberg ship panic titanic oceanliner epic richwomanpoorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s katewinslet leonardodicaprio francesfisher katewinslet leonardodicaprio francesfisher jamescameron jamescameron jamescameron,en,7.5,1997-11-18,100.025899,194.0,US
271110,Captain America: Civil War,following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies,Adventure Action Science Fiction,civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d,Chris Evans Robert Downey Jr. Scarlett Johansson,Anthony Russo,following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies adventure action sciencefiction adventure action sciencefiction civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d chrisevans robertdowneyjr scarlettjohansson chrisevans robertdowneyjr scarlettjohansson anthonyrusso anthonyrusso anthonyrusso,en,7.1,2016-04-27,198.372395,147.0,US
